Dublin_Postcodes,SubCat,Year,Propery_Size,S_Location,Location,RegionFilter,Status,Values_,ObjectId
County,Rent Price,2022,a. All bedrooms,Roscommon Town,Roscommon Town,Northern & Western,Settlement,843.19,2301
County,Annual Change,2022,a. All bedrooms,Navan,Navan,Eastern & Midland,Settlement,5.6,2313
County,Rent Price,2022,a. All bedrooms,Navan,Navan,Eastern & Midland,Settlement,1246.14,2317
County,Annual Change,2022,a. All bedrooms,Castlebar,Castlebar,Northern & Western,Settlement,14.4,2327
County,Rent Price,2022,a. All bedrooms,Castlebar,Castlebar,Northern & Western,Settlement,909.1,2331
County,Annual Change,2022,a. All bedrooms,Tullamore,Tullamore,Eastern & Midland,Settlement,11.6,2377
County,Rent Price,2022,a. All bedrooms,Tullamore,Tullamore,Eastern & Midland,Settlement,1047.69,2380
D_Postcodes,Annual Change,2022,b. One bed,Dublin 3,Dublin 3,Eastern & Midland,County,0,2403
D_Postcodes,Rent Price,2022,b. One bed,Dublin 3,Dublin 3,Eastern & Midland,County,0,2404
D_Postcodes,Annual Change,2022,b. One bed,Dublin 4,Dublin 4,Eastern & Midland,County,0,2432
D_Postcodes,Rent Price,2022,b. One bed,Dublin 4,Dublin 4,Eastern & Midland,County,0,2433
County,Annual Change,2022,b. One bed,m. Dublin,Dublin,Eastern & Midland,County,5.1,2468
County,Rent Price,2022,b. One bed,m. Dublin,Dublin,Eastern & Midland,County,1425.24,2469
D_Postcodes,Annual Change,2022,b. One bed,Dublin 1,Dublin 1,Eastern & Midland,County,0,2497
D_Postcodes,Rent Price,2022,b. One bed,Dublin 1,Dublin 1,Eastern & Midland,County,0,2498
County,Annual Change,2022,b. One bed,zr. Cork City,Cork City,Southern,County,4.5,2513
County,Rent Price,2021,e. Four plus bed,zr. Cork City,Cork City,Southern,County,1756.71,10060
County,Annual Change,2022,b. One bed,za. Donegal,Donegal,Northern & Western,County,15.3,2556
County,Rent Price,2022,b. One bed,za. Donegal,Donegal,Northern & Western,County,540.69,2557
County,Annual Change,2022,b. One bed,z. Cavan,Cavan,Northern & Western,County,12,2571
County,Rent Price,2022,b. One bed,z. Cavan,Cavan,Northern & Western,County,629.05,2572
County,Annual Change,2022,b. One bed,zj. Clare,Clare,Southern,County,6.1,2600
County,Annual Change,2022,a. All bedrooms,Wicklow Town,Wicklow Town,Eastern & Midland,Settlement,8.9,2605
County,Rent Price,2022,a. All bedrooms,Wicklow Town,Wicklow Town,Eastern & Midland,Settlement,1329.85,2606
County,Annual Change,2022,a. All bedrooms,Bray,Bray,Eastern & Midland,Settlement,2.6,2634
County,Rent Price,2022,a. All bedrooms,Bray,Bray,Eastern & Midland,Settlement,1405.42,2635
County,Rent Price,2022,b. One bed,zj. Clare,Clare,Southern,County,574.99,2651
County,Annual Change,2022,a. All bedrooms,Rathnew,Rathnew,Eastern & Midland,Settlement,-0.4,2665
County,Rent Price,2022,a. All bedrooms,Rathnew,Rathnew,Eastern & Midland,Settlement,1150.21,2666
County,Annual Change,2022,b. One bed,zm. Carlow,Carlow,Southern,County,15.7,2694
County,Rent Price,2022,b. One bed,zm. Carlow,Carlow,Southern,County,820.45,2695
D_Postcodes,Annual Change,2022,b. One bed,Dublin 2,Dublin 2,Eastern & Midland,County,0,2725
D_Postcodes,Rent Price,2022,b. One bed,Dublin 2,Dublin 2,Eastern & Midland,County,0,2726
County,Annual Change,2022,b. One bed,zq. Cork,Cork,Southern,County,5.3,2779
County,Rent Price,2022,b. One bed,zq. Cork,Cork,Southern,County,969.26,2780
D_Postcodes,Annual Change,2022,b. One bed,Dublin 9,Dublin 9,Eastern & Midland,County,0,2806
D_Postcodes,Rent Price,2022,b. One bed,Dublin 9,Dublin 9,Eastern & Midland,County,0,2807
D_Postcodes,Annual Change,2022,b. One bed,Dublin 14,Dublin 14,Eastern & Midland,County,0,2835
D_Postcodes,Rent Price,2022,b. One bed,Dublin 14,Dublin 14,Eastern & Midland,County,0,2843
D_Postcodes,Annual Change,2022,b. One bed,Dublin 5,Dublin 5,Eastern & Midland,County,0,2855
D_Postcodes,Rent Price,2022,b. One bed,Dublin 5,Dublin 5,Eastern & Midland,County,0,2856
D_Postcodes,Annual Change,2022,b. One bed,Dublin 6,Dublin 6,Eastern & Midland,County,0,2884
D_Postcodes,Rent Price,2022,b. One bed,Dublin 6,Dublin 6,Eastern & Midland,County,0,2885
D_Postcodes,Annual Change,2022,b. One bed,Dublin 16,Dublin 16,Eastern & Midland,County,0,2929
D_Postcodes,Annual Change,2022,b. One bed,Dublin 10,Dublin 10,Eastern & Midland,County,0,2935
D_Postcodes,Rent Price,2022,b. One bed,Dublin 10,Dublin 10,Eastern & Midland,County,0,2936
D_Postcodes,Rent Price,2022,b. One bed,Dublin 16,Dublin 16,Eastern & Midland,County,0,2952
D_Postcodes,Annual Change,2022,b. One bed,Dublin 11,Dublin 11,Eastern & Midland,County,0,2986
D_Postcodes,Rent Price,2022,b. One bed,Dublin 11,Dublin 11,Eastern & Midland,County,0,2990
D_Postcodes,Annual Change,2022,b. One bed,Dublin 12,Dublin 12,Eastern & Midland,County,0,3033
D_Postcodes,Rent Price,2022,b. One bed,Dublin 12,Dublin 12,Eastern & Midland,County,0,3034
D_Postcodes,Annual Change,2022,b. One bed,Dublin 6W,Dublin 6W,Eastern & Midland,County,0,3051
D_Postcodes,Rent Price,2022,b. One bed,Dublin 6W,Dublin 6W,Eastern & Midland,County,0,3052
D_Postcodes,Annual Change,2022,b. One bed,Dublin 7,Dublin 7,Eastern & Midland,County,0,3080
D_Postcodes,Rent Price,2022,b. One bed,Dublin 7,Dublin 7,Eastern & Midland,County,0,3081
D_Postcodes,Annual Change,2022,b. One bed,Dublin 8,Dublin 8,Eastern & Midland,County,0,3090
D_Postcodes,Rent Price,2022,b. One bed,Dublin 8,Dublin 8,Eastern & Midland,County,0,3091
D_Postcodes,Annual Change,2022,b. One bed,Dublin 15,Dublin 15,Eastern & Midland,County,0,3126
D_Postcodes,Rent Price,2022,b. One bed,Dublin 15,Dublin 15,Eastern & Midland,County,0,3128
D_Postcodes,Annual Change,2022,b. One bed,Dublin 17,Dublin 17,Eastern & Midland,County,0,3142
D_Postcodes,Rent Price,2022,b. One bed,Dublin 17,Dublin 17,Eastern & Midland,County,0,3144
D_Postcodes,Annual Change,2022,b. One bed,Dublin 13,Dublin 13,Eastern & Midland,County,0,3172
D_Postcodes,Rent Price,2022,b. One bed,Dublin 13,Dublin 13,Eastern & Midland,County,0,3173
D_Postcodes,Annual Change,2022,b. One bed,Dublin 18,Dublin 18,Eastern & Midland,County,0,3220
D_Postcodes,Rent Price,2022,b. One bed,Dublin 18,Dublin 18,Eastern & Midland,County,0,3221
D_Postcodes,Annual Change,2022,b. One bed,Dublin 20,Dublin 20,Eastern & Midland,County,0,3249
D_Postcodes,Rent Price,2022,b. One bed,Dublin 20,Dublin 20,Eastern & Midland,County,0,3250
County,Annual Change,2022,b. One bed,w. Longford,Longford,Eastern & Midland,County,12.7,3282
County,Rent Price,2022,b. One bed,w. Longford,Longford,Eastern & Midland,County,626.39,3287
County,Annual Change,2022,b. One bed,zkk. Limerick City,Limerick City,Southern,County,10.4,3312
County,Rent Price,2022,b. One bed,zkk. Limerick City,Limerick City,Southern,County,902.86,3313
County,Annual Change,2022,b. One bed,zh. Mayo,Mayo,Northern & Western,County,12,3361
County,Rent Price,2022,b. One bed,zh. Mayo,Mayo,Northern & Western,County,664.37,3365
County,Annual Change,2022,b. One bed,zn. Kilkenny,Kilkenny,Southern,County,3,3379
County,Rent Price,2022,b. One bed,zn. Kilkenny,Kilkenny,Southern,County,709.79,3382
D_Postcodes,Annual Change,2022,b. One bed,Dublin 24,Dublin 24,Eastern & Midland,County,0,3394
D_Postcodes,Rent Price,2022,b. One bed,Dublin 24,Dublin 24,Eastern & Midland,County,0,3398
County,Annual Change,2022,b. One bed,u. Louth,Louth,Eastern & Midland,County,3.6,3428
County,Rent Price,2022,b. One bed,u. Louth,Louth,Eastern & Midland,County,920.21,3429
County,Annual Change,2022,b. One bed,zk. Limerick,Limerick,Southern,County,8.2,3483
County,Rent Price,2022,b. One bed,zk. Limerick,Limerick,Southern,County,847.54,3485
County,Annual Change,2022,b. One bed,s. Meath,Meath,Eastern & Midland,County,2,3494
County,Rent Price,2022,b. One bed,s. Meath,Meath,Eastern & Midland,County,933.05,3495
County,Annual Change,2022,b. One bed,ze. Galway,Galway,Northern & Western,County,5.5,3504
County,Rent Price,2022,b. One bed,ze. Galway,Galway,Northern & Western,County,886.47,3505
County,Annual Change,2022,b. One bed,zf. Galway City,Galway City,Northern & Western,County,5.1,3533
County,Rent Price,2022,b. One bed,zf. Galway City,Galway City,Northern & Western,County,979.55,3534
County,Annual Change,2022,b. One bed,zt. Kerry,Kerry,Southern,County,10.7,3562
County,Rent Price,2022,b. One bed,zt. Kerry,Kerry,Southern,County,684.72,3563
County,Annual Change,2022,b. One bed,r. Kildare,Kildare,Eastern & Midland,County,5.5,3591
County,Rent Price,2022,b. One bed,r. Kildare,Kildare,Eastern & Midland,County,1022.69,3592
County,Annual Change,2022,b. One bed,Carlow Town,Carlow Town,Southern,Settlement,17,3613
County,Rent Price,2022,b. One bed,Carlow Town,Carlow Town,Southern,Settlement,845.54,3614
County,Annual Change,2022,b. One bed,Cavan Town,Cavan Town,Northern & Western,Settlement,23.2,3643
County,Rent Price,2022,b. One bed,Cavan Town,Cavan Town,Northern & Western,Settlement,728.02,3644
County,Annual Change,2022,b. One bed,xy. Offaly,Offaly,Eastern & Midland,County,15,3663
County,Rent Price,2022,b. One bed,xy. Offaly,Offaly,Eastern & Midland,County,741.5,3666
County,Annual Change,2022,b. One bed,Ennis,Ennis,Southern,Settlement,3.2,3698
County,Rent Price,2022,b. One bed,Ennis,Ennis,Southern,Settlement,530.64,3699
County,Annual Change,2022,b. One bed,Clonakilty,Clonakilty,Southern,Settlement,8.1,3727
County,Annual Change,2022,b. One bed,zp. Wexford,Wexford,Southern,County,10.3,3738
County,Rent Price,2022,b. One bed,zp. Wexford,Wexford,Southern,County,689.5,3740
County,Annual Change,2022,b. One bed,zo. Waterford,Waterford,Southern,County,9.9,3765
County,Rent Price,2022,b. One bed,zo. Waterford,Waterford,Southern,County,740.17,3771
County,Annual Change,2022,b. One bed,zd. Sligo,Sligo,Northern & Western,County,8.4,3772
County,Annual Change,2022,b. One bed,zc. Monaghan,Monaghan,Northern & Western,County,29.3,3785
County,Rent Price,2022,b. One bed,zc. Monaghan,Monaghan,Northern & Western,County,700.03,3786
County,Rent Price,2022,b. One bed,zd. Sligo,Sligo,Northern & Western,County,662.17,3813
County,Annual Change,2022,b. One bed,zi. Roscommon,Roscommon,Northern & Western,County,6.8,3873
County,Rent Price,2022,b. One bed,zi. Roscommon,Roscommon,Northern & Western,County,589.63,3874
County,Annual Change,2022,b. One bed,y. Westmeath,Westmeath,Eastern & Midland,County,13.7,3916
County,Annual Change,2022,b. One bed,zl. Tipperary,Tipperary,Southern,County,10,3930
County,Rent Price,2022,b. One bed,zl. Tipperary,Tipperary,Southern,County,616.68,3931
County,Annual Change,2022,b. One bed,t. Wicklow,Wicklow,Eastern & Midland,County,0.3,3948
County,Rent Price,2022,b. One bed,t. Wicklow,Wicklow,Eastern & Midland,County,1028.22,3949
County,Rent Price,2022,b. One bed,y. Westmeath,Westmeath,Eastern & Midland,County,785.02,3967
County,Annual Change,2022,b. One bed,zoo. Waterford City,Waterford City,Southern,County,9,3979
County,Rent Price,2022,b. One bed,zoo. Waterford City,Waterford City,Southern,County,740.65,3981
County,Rent Price,2022,b. One bed,Clonakilty,Clonakilty,Southern,Settlement,702.73,4001
County,Annual Change,2022,b. One bed,Mallow,Mallow,Southern,Settlement,17.6,4032
